customer_id,Customer Fname,Customer Lname,Customer City,Customer State
20755,Cally,Holloway,Caguas,PR
19492,Irene,Luna,Caguas,PR
19491,Gillian,Maldonado,San Jose,CA
19490,Tana,Tate,Los Angeles,CA
19489,Orli,Hendricks,Caguas,PR
19488,Kimberly,Flowers,Tonawanda,NY
19487,Constance,Terrell,Caguas,PR
19486,Erica,Stevens,Miami,FL
19485,Nichole,Olsen,Caguas,PR
19484,Oprah,Delacruz,San Ramon,CA
19483,Germane,Short,Caguas,PR
19482,Freya,Robbins,Freeport,NY
19481,Cassandra,Jensen,Salinas,CA
19480,Natalie,Mcfadden,Caguas,PR
19479,Kimberley,Sharpe,Peabody,MA
19478,Sade,Lancaster,Caguas,PR
19477,Brynne,Giles,Canovanas,PR
19476,Ciara,Bird,Paramount,CA
19475,Bo,Griffin,Caguas,PR
19474,Kim,Simon,Mount Prospect,IL
19473,Kellie,Farmer,Long Beach,CA
19472,Alma,Conley,Caguas,PR
19471,Yeo,Bird,Rancho Cordova,CA
19470,Lucy,Mcknight,Caguas,PR
19469,Simone,Vance,Billings,MT
19468,Roary,Wheeler,Caguas,PR
19467,Quail,Ashley,Wilkes Barre,PA
19466,Hannah,Velez,Caguas,PR
19465,Evelyn,Kelly,Roseville,MI
19464,Jael,Mcfarland,Bellflower,CA
19463,Teagan,Romero,Caguas,PR
19462,Joan,Wilder,Wheaton,IL
19461,Basia,Watts,Caguas,PR
19460,Dominique,Rogers,Detroit,MI
19459,Ainsley,Mathis,Dallas,TX
19458,Aurora,Sharp,Caguas,PR
19457,Libby,Bray,Carlisle,PA
19456,Amy,Lindsay,Dallas,TX
19455,Ivory,Parks,Caguas,PR
19454,Karina,Prince,Newark,DE
19453,Deanna,Goff,Panorama City,CA
19452,Dacey,Walters,Caguas,PR
19451,Adele,Pennington,Atlanta,GA
19450,Sybill,Spencer,Caguas,PR
19449,Kay,Sandoval,Fremont,CA
19448,Stacy,Mckinney,Caguas,PR
19447,Marah,Lara,Rochester,NY
19446,Taylor,Wood,Dallas,TX
9083,Mary,Frank,Bayamon,PR
4741,Mary,Smith,Caguas,PR
639,Elizabeth,Pittman,Caguas,PR
9702,Katherine,Tyler,Caguas,PR
9114,Mary,Smith,Caguas,PR
1362,Dennis,Smith,Caguas,PR
8011,Mary,Hill,Caguas,PR
3296,Mary,Smith,Caguas,PR
3182,Frances,Smith,Caguas,PR
7864,Alice,Smith,Caguas,PR
11169,Kyle,Thomas,Caguas,PR
5197,Brenda,Jordan,Caguas,PR
1535,Frank,Livingston,Caguas,PR
6122,Johnny,Smith,Caguas,PR
9451,Mary,Smith,Caguas,PR
542,Mary,Smith,Caguas,PR
11329,Hannah,Smith,Caguas,PR
3570,Mary,Nelson,Caguas,PR
650,Austin,Sexton,Caguas,PR
9353,Michael,Scott,Caguas,PR
54,Mary,Olson,Caguas,PR
12151,Vincent,Krueger,Caguas,PR
10018,Gregory,Rodriguez,Caguas,PR
4936,Kyle,Smith,Caguas,PR
8707,Lisa,Smith,Caguas,PR
1025,Megan,Todd,Caguas,PR
8831,Mary,Smith,Caguas,PR
10679,Mary,Smith,Caguas,PR
5007,Mary,Smith,Caguas,PR
9854,Mary,Smith,Caguas,PR
376,Grace,Sanchez,Caguas,PR
5417,Dennis,Meyer,Caguas,PR
10759,Douglas,Smith,Caguas,PR
8541,Mary,Smith,Caguas,PR
3752,Mary,Vega,Caguas,PR
4673,Wayne,Hodges,Caguas,PR
5367,Mary,Mccormick,Caguas,PR
10485,Mary,Smith,Caguas,PR
9272,Ronald,Blackwell,Caguas,PR
647,Mary,Rios,Caguas,PR
6398,Tammy,Smith,Caguas,PR
4209,Mary,Lara,Caguas,PR
8917,Mary,Smith,Caguas,PR
7784,Mary,Smith,Caguas,PR
1425,Christina,Harvey,Caguas,PR
2737,Mary,Smith,Caguas,PR
6428,Mary,Smith,Caguas,PR
6543,Alexander,Smith,Caguas,PR
3990,Sandra,Smith,Guayama,PR
8524,Ruth,Farrell,Caguas,PR
9204,Mary,Harris,Caguas,PR
11761,Lauren,Coleman,Caguas,PR
9554,Mary,Hayes,Caguas,PR
5118,Mary,Smith,Caguas,PR
5506,Gregory,Smith,Caguas,PR
1423,Mary,Day,Caguas,PR
138,Mary,Dawson,Caguas,PR
6360,Mary,Phillips,Caguas,PR
2053,Ronald,Smith,Caguas,PR
10344,Mary,Smith,Juana Diaz,PR
3375,Mary,Sanchez,Caguas,PR
1339,Melissa,Mack,Caguas,PR
7247,Mary,Smith,Caguas,PR
1273,Maria,Evans,Caguas,PR
6277,Eugene,Smith,Caguas,PR
7701,James,Lawson,Caguas,PR
4126,John,Stokes,Caguas,PR
9528,Mary,Flores,Caguas,PR
1853,Mary,Austin,Caguas,PR
11149,Roy,Smith,Caguas,PR
5828,Katherine,Oconnell,Caguas,PR
6887,Mary,Smith,Caguas,PR
4781,Janet,Smith,Caguas,PR
10668,Mary,Smith,Caguas,PR
5421,Mary,Carlson,Caguas,PR
10200,Nicole,Smith,Caguas,PR
11254,Sharon,Smith,Caguas,PR
11106,Mary,Navarro,Caguas,PR
8456,Mary,Smith,Caguas,PR
6149,Matthew,Bush,Caguas,PR
1473,Anthony,Young,Caguas,PR
1840,Jerry,Smith,Caguas,PR
6757,Mary,Freeman,Caguas,PR
3972,Laura,Bennett,Caguas,PR
9316,Megan,Sanders,Caguas,PR
11213,Mary,Black,Caguas,PR
3474,Jack,Hatfield,Caguas,PR
14630,Kirestin,Barr,Caguas,PR
13256,Nora,Downs,Caguas,PR
14665,Jennifer,Stokes,Caguas,PR
13363,Madonna,Ingram,Caguas,PR
14645,Noelani,Hyde,Caguas,PR
13163,Sydnee,Nolan,Caguas,PR
14553,Willa,Potter,Caguas,PR
14287,Alma,Delgado,Caguas,PR
13179,Ila,Knight,Caguas,PR
13035,Belle,Booker,Caguas,PR
14322,Alyssa,Contreras,Caguas,PR
13196,Lani,Nash,Caguas,PR
14604,Demetria,Jarvis,Caguas,PR
12961,Joan,Nixon,Caguas,PR
14676,Gay,Harper,Caguas,PR
14087,Audrey,Acosta,Caguas,PR
13194,Riley,Jones,Caguas,PR
14513,Imani,Kelly,Caguas,PR
13461,Mechelle,Parker,Caguas,PR
14510,Imani,Castaneda,Caguas,PR
13190,Whitney,Henderson,Caguas,PR
14508,Roanna,Martin,Caguas,PR
14472,Vivian,Hays,Caguas,PR
14562,Xantha,Brock,Caguas,PR
13206,Zia,Davis,Caguas,PR
13080,Mara,Duffy,Caguas,PR
14633,Sloane,Long,Caguas,PR
14097,Winifred,Alexander,Caguas,PR
13024,Giselle,Farrell,Caguas,PR
778,John,Buckley,Caguas,PR
7146,Nancy,Curry,Caguas,PR
6365,Mary,Smith,Caguas,PR
8422,Wayne,Crawford,Caguas,PR
3784,Mary,Sharp,Caguas,PR
10519,Mary,Smith,Caguas,PR
7132,David,Guerra,Caguas,PR
3709,Mary,Padilla,Caguas,PR
1509,Patricia,Petersen,Freeport,NY
1636,Julie,Petersen,Fort Washington,MD
2784,Lisa,Smith,Bakersfield,CA
9174,Tyler,Smith,Corona,NY
122,Karen,Smith,Cincinnati,OH
3800,Shawn,Smith,Germantown,MD
10029,Mary,Silva,Carrollton,TX
2805,Willie,Smith,Houston,TX
12253,Mary,Chan,Carlisle,PA
3528,Nicole,Brooks,Los Angeles,CA
11018,Bruce,Smith,Ewa Beach,HI
3222,Mary,Williams,Lakewood,NJ
6246,Melissa,Ramirez,Rome,NY
8741,Gregory,Smith,Vista,CA
8050,Elizabeth,Smith,Fort Worth,TX
5474,Mary,Sanchez,Fond Du Lac,WI
474,Mary,Patton,Philadelphia,PA
12255,Mary,Davis,Ontario,CA
10288,Mark,Smith,Oviedo,FL
4717,Mary,Sanders,Buffalo,NY
4799,Paul,Jensen,Honolulu,HI
4533,Walter,Chavez,Oceanside,CA
12383,Joyce,Phillips,North Tonawanda,NY
3518,Daniel,Smith,Clovis,CA
4674,Mary,Lynn,Jamaica,NY
8519,Pamela,Michael,Granite City,IL
5302,Betty,Smith,Medford,MA
3594,Mary,Smith,Pomona,CA
9890,Christian,Luna,Tempe,AZ
1410,Mary,Smith,Santa Ana,CA
7521,Mary,Ortega,York,PA
